Begin Time:2021-05-13T17:36:22.633
[2021-05-13T17:36:22.633 info Netsdk:48184 14224:12524 AVNetSDKMgr.cpp:378]Load avnetsdk library dynamically
[2021-05-13T17:36:22.769 info Netsdk:48184 14224:15916 dhnetsdk.cpp:809]Enter CLIENT_LoginWithHighLevelSecurity. pstInParam:000001B1B334A860, pstOutParam:000001B1B3348530.
[2021-05-13T17:36:22.769 info Netsdk:48184 14224:15916 dhnetsdk.cpp:825]IP:196.6.0.10, port:8002, SpeCap:0, CapParam:0000000000000000.
[2021-05-13T17:36:22.769 info Netsdk:48184 14224:2260 dhnetsdk.cpp:809]Enter CLIENT_LoginWithHighLevelSecurity. pstInParam:000001B1B334B9E0, pstOutParam:000001B1B3348930.
[2021-05-13T17:36:22.769 info Netsdk:48184 14224:2260 dhnetsdk.cpp:825]IP:170.242.0.130, port:8002, SpeCap:0, CapParam:0000000000000000.
[2021-05-13T17:36:22.769 info Netsdk:48184 14224:14032 dhnetsdk.cpp:809]Enter CLIENT_LoginWithHighLevelSecurity. pstInParam:000001B1B334BAC0, pstOutParam:000001B1B3348A30.
[2021-05-13T17:36:22.769 info Netsdk:48184 14224:14032 dhnetsdk.cpp:825]IP:170.242.0.235, port:8004, SpeCap:0, CapParam:0000000000000000.
[2021-05-13T17:36:22.770 info Netsdk:48184 14224:6988 dhnetsdk.cpp:809]Enter CLIENT_LoginWithHighLevelSecurity. pstInParam:000001B1B334B2E0, pstOutParam:000001B1B3359080.
[2021-05-13T17:36:22.770 info Netsdk:48184 14224:6988 dhnetsdk.cpp:825]IP:170.242.0.218, port:8002, SpeCap:0, CapParam:0000000000000000.
[2021-05-13T17:36:22.770 info Netsdk:48184 14224:14332 dhnetsdk.cpp:809]Enter CLIENT_LoginWithHighLevelSecurity. pstInParam:000001B1B334A5C0, pstOutParam:000001B1B3358580.
[2021-05-13T17:36:22.770 info Netsdk:48184 14224:14332 dhnetsdk.cpp:825]IP:196.6.0.234, port:8003, SpeCap:0, CapParam:0000000000000000.
[2021-05-13T17:36:22.770 info Netsdk:48184 14224:14952 dhnetsdk.cpp:809]Enter CLIENT_LoginWithHighLevelSecurity. pstInParam:000001B1B334C000, pstOutParam:000001B1B3357380.
[2021-05-13T17:36:22.770 info Netsdk:48184 14224:14952 dhnetsdk.cpp:825]IP:196.6.0.234, port:8004, SpeCap:0, CapParam:0000000000000000.
[2021-05-13T17:36:22.770 info Netsdk:48184 14224:14588 dhnetsdk.cpp:809]Enter CLIENT_LoginWithHighLevelSecurity. pstInParam:000001B1B334ADA0, pstOutParam:000001B1B3355780.
[2021-05-13T17:36:22.770 info Netsdk:48184 14224:14588 dhnetsdk.cpp:825]IP:196.6.0.234, port:8002, SpeCap:0, CapParam:0000000000000000.
[2021-05-13T17:36:22.770 info Netsdk:48184 14224:15852 dhnetsdk.cpp:809]Enter CLIENT_LoginWithHighLevelSecurity. pstInParam:000001B1B334B820, pstOutParam:000001B1B3358980.
[2021-05-13T17:36:22.770 info Netsdk:48184 14224:13496 dhnetsdk.cpp:809]Enter CLIENT_LoginWithHighLevelSecurity. pstInParam:000001B1B334B580, pstOutParam:000001B1B3356980.
[2021-05-13T17:36:22.770 info Netsdk:48184 14224:13496 dhnetsdk.cpp:825]IP:196.6.1.194, port:8001, SpeCap:0, CapParam:0000000000000000.
